GM089405,96.85.213.227     ,04:bd:88:c4:03:2e
GM089992,96.68.4.179       ,04:bd:88:c4:07:da
GM096902,96.84.115.194     ,04:bd:88:c4:13:d2
GM103988,173.167.180.11    ,48:4a:e9:ca:d1:44
GM103988,173.167.180.12    ,48:4a:e9:ca:d6:00
GM106298,96.89.153.91      ,d0:15:a6:c0:4f:de
GM106324,96.69.184.243     ,34:fc:b9:cc:dd:72
GM110516,96.70.44.3        ,34:fc:b9:c1:9b:2a
GM114087,96.69.197.203     ,34:fc:b9:c1:92:24
GM115500,50.245.136.203    ,34:fc:b9:c1:83:6a
GM116163,96.69.205.235     ,34:fc:b9:c1:91:b6
GM120973,96.72.59.163      ,c8:b5:ad:c1:1c:60
GM121073,50.78.172.91      ,c8:b5:ad:c1:12:2a
GM127114,96.78.38.243      ,a8:bd:27:c8:f2:9c
GM130568,65.57.79.172      ,34:fc:b9:c1:c2:42
GM130568,65.57.79.171      ,b4:5d:50:cc:9c:d6
GM133960,96.74.18.100      ,90:4c:81:c6:f3:f2
GM133960,96.74.18.99       ,90:4c:81:c6:f7:98
GM138489,50.198.2.131      ,90:4c:81:c8:73:f6
GM138489,50.198.2.132      ,90:4c:81:c8:85:88
GM139762,50.212.192.171    ,90:4c:81:ca:8b:d8
GM139762,50.212.192.172    ,90:4c:81:ca:d4:20
GM145019,75.150.237.195    ,48:4a:e9:ca:99:e2
GM145019,75.150.237.196    ,48:4a:e9:ca:ad:10
